,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.96,0.97,44558,562.113329410553
nod,0.84,0.91,0.88,5446,562.113329410553
shake,0.82,0.92,0.87,5379,562.113329410553
accuracy,0.95,0.95,0.95,0,562.113329410553
macro avg,0.88,0.93,0.91,55383,562.113329410553
weighted avg,0.95,0.95,0.95,55383,562.113329410553
