,max_acc_X,max_acc_Z,max_acc_xyz,min_acc_xyz,var_acc_X,var_acc_Y,var_acc_Z,var_acc_xyz,per_range_acc_X,per_range_acc_Y,per_range_acc_Z,per_range_acc_xyz,coef_acc_xy,PB5-10acc_X,PB10-15acc_X,PB10-15acc_Y,PB40-45acc_Y,PB5-10acc_Z,PB20-25acc_Z,PB10-15acc_xyz,En_acc_X,En_acc_Y,En_acc_Z,En_acc_xyz
1889,-8.63827958984375,-1.121683477783203,10.287424780424583,9.303271238219356,0.10583460077758086,0.08831082248648861,0.1166388771280149,0.07951218767911772,0.4884171386718741,0.394444723510742,0.5722141967773435,0.4576145668339944,-0.9921952592900836,43.6300636726803,8.276253524283847,8.674819895191938,0.08453002992041025,49.76778584111011,0.57822510682378,5.065540018156657,3.612100782934135,3.012009687056874,3.980716502641743,2.7139315517104032
1890,-8.589198455810546,-1.121683477783203,10.201747285196694,9.230208126014512,0.12146725355199374,0.06253301257663706,0.07076048518129344,0.08760220850131836,0.5940612869262694,0.46178164520263687,0.48392801055908197,0.48716203021324134,-0.9464451763528491,54.92703391718446,5.893672466969791,0.5917600917918572,0.008817831764766231,35.92051807264967,0.02367131548592962,4.70836710417452,4.146068449522558,2.133923437473716,2.4141583534140123,2.990138840027888
1891,-8.589198455810546,-1.121683477783203,10.220440975316516,9.230208126014512,0.15181332864353098,0.07715847302884321,0.0772258991696103,0.11077230239806629,0.4800374328613284,0.39564182434081996,0.4713584518432614,0.4265404493815126,-0.9699436578600317,65.51595070701245,8.976813994898457,1.760181786481475,0.06854737108423652,38.0253404370489,0.19122240830868614,6.0813831534632055,5.181793873211161,2.6321962070808804,2.6349025705246687,3.781024283605985
1892,-8.65623610229492,-0.8798691101074219,10.220440975316516,9.292362239157924,0.1575505403115634,0.09479664064940867,0.15563864256143853,0.12046660619971516,0.8083423355102539,0.5796960769653317,0.7646481552124025,0.710878134009036,-0.9765189915686336,71.08741440815992,6.328324180430895,3.416592319009956,0.014365720275109297,73.68669760925877,0.5275223788055416,5.4511141496059015,5.373368445019963,3.2345177025966168,5.309359529360792,4.108095187531022
1893,-8.65623610229492,-0.8798691101074219,10.49555898177476,9.292362239157924,0.1917617972308917,0.15801617533150086,0.16726893391909392,0.13894891196009063,0.5898714340209974,0.4964975692749021,0.6512228515624998,0.5033136820163637,-0.9875265124153573,79.12078260850001,16.472566747963487,9.216533514097657,0.3292453262791992,79.97783770374144,0.46238998645023993,13.175520035174767,6.5414520275338,5.389765980886879,5.707176134868915,4.7401682721503935
1894,-9.009380847167968,-1.2641384765625,10.49555898177476,9.586161604335125,0.10332378312485646,0.11468477856272105,0.08805313231566791,0.07326696864365348,0.3127425918579103,0.38726211853027337,0.3860650177001952,0.24533648329139446,-0.98818964097528,38.60120056500037,11.144898713123384,11.10965247569337,0.2535866414925672,35.49778270694231,0.26860361135524113,8.68125636118187,3.525150259000094,3.9109875185531044,3.002561394713603,2.4998279827133385
1895,-9.009380847167968,-1.2641384765625,9.803170527636956,9.586161604335125,0.010907605721615744,0.008860013213062786,0.0015127414343151908,0.005759517879658055,0.18525135345458743,0.1816600509643549,0.05566518859863279,0.13105408046720157,-0.9722636122218856,4.450520517803852,0.8040198569647183,0.34605958217922395,0.011467061058238212,0.6287615441751421,0.0017760553925338105,0.47604509849900606,0.37211112070018715,0.30233752097584426,0.051634716551238885,0.19647681729754343
1896,-9.21887349243164,-1.341950030517578,9.804148292541576,9.785598792094095,0.0007924544783352182,0.008512089848422283,0.0002457177624715621,2.1390577788021743e-05,0.05207388610839736,0.19243395843505828,0.03022679595947242,0.007372982343976986,-0.9864440970179333,0.3414372532627945,0.041713757929963666,0.31659113703695985,0.010290647041766389,0.09598594363066233,0.00102453990059083,0.0025400505899952157,0.02702159829287932,0.29015907655218964,0.008382389457704737,0.0007298267601114544
1897,-9.187748870849608,-1.3383587280273437,9.866240548682905,9.73298315266235,0.0008491663282406396,0.0018434947839895098,0.00016318861400093412,0.0008169905857375912,0.024241291809079968,0.05805939025878892,0.013467384338379018,0.012864470326864108,-0.10375625119996577,0.17003348758608017,0.1974256378310308,0.26350719382238974,0.030839713815809508,0.03652258754783737,0.011014511354381607,0.23246302112050266,0.028980100502622827,0.062292885576666415,0.005537879955611056,0.027811816129916775
1898,-9.187748870849608,-1.3383587280273437,9.866240548682905,9.73298315266235,0.0010250564709589278,0.00047436067347988797,0.00011848975687972591,0.0012474235425424416,0.04459200592041057,0.03351882324218769,0.018255787658691514,0.04696182958889317,0.8253399126145702,0.05444564083870572,0.38393619022842634,0.22325158628991915,0.0010796182639069502,0.0038185068261236675,0.008342253914052154,0.500487712067452,0.034926686431564394,0.01618764175204062,0.004044450368161309,0.042514592713500714
1899,-9.20570538330078,-1.347935534667969,9.850955750575991,9.7545074880473,0.0004133398761393585,0.00023895555590895662,5.8070728749045895e-05,0.0004941175600177963,0.024241291809081744,0.023343466186523276,0.01107318267822266,0.025739514990389623,0.6306645368921854,0.009153340025439658,0.15410532692030515,0.034179372570027816,0.0014334050788674742,0.00667542654862016,0.0049736952143311,0.17435034309727734,0.01409319082793135,0.008154629981215513,0.0019820997729541904,0.016848754838596432
1900,-8.980650427246093,-1.2150573425292968,9.811872627577849,9.60145733864454,0.007028345293241447,0.0048329274785609555,0.002897805635326088,0.0041517036200013745,0.041299978637695745,0.031723171997069866,0.06973112335205056,0.04302374158749167,-0.9774190138019113,1.8421829379663353,1.1869098391698707,0.889664861244964,0.022834794649823464,0.9100248345079853,0.04829452096046709,0.6529482700260785,0.23932285568236772,0.16473649950348396,0.09882344201297232,0.1413485748751566
1901,-8.965088116455078,-1.2150573425292968,10.4206773950884,9.592676774538877,0.06707177427348159,0.06979088524167895,0.0773727294573467,0.04650409193302463,0.23702596435546752,0.21009119567871082,0.3088520141601563,0.17312297299432267,-0.9466308455940892,20.17321858252162,9.43998377195674,7.58027624307592,0.3921912613392793,27.65218885145885,1.3121787847897357,7.351722967223288,2.285310308232115,2.378260918643266,2.6373239480127637,1.584341206927436
