,precision,recall,f1-score,support
others,0.981,0.991,0.986,25007
nod,0.864,0.723,0.788,925
shake,0.863,0.754,0.805,960
accuracy,0.974,0.974,0.974,0
macro avg,0.903,0.823,0.859,26892
weighted avg,0.972,0.974,0.973,26892
