,precision,recall,f1-score,support
others,0.836,0.997,0.909,176754
nod,0.878,0.112,0.199,19475
shake,0.884,0.117,0.207,19753
accuracy,0.837,0.837,0.837,0
macro avg,0.866,0.409,0.438,215982
weighted avg,0.844,0.837,0.781,215982
