,precision,recall,f1-score,support
others,0.823,0.997,0.902,173566
nod,0.88,0.116,0.206,21085
shake,0.881,0.122,0.214,21331
accuracy,0.824,0.824,0.824,0
macro avg,0.861,0.412,0.44,215982
weighted avg,0.834,0.824,0.766,215982
