,precision,recall,f1-score,support
others,0.987,0.997,0.992,26304
nod,0.736,0.33,0.455,279
shake,0.814,0.511,0.628,309
accuracy,0.985,0.985,0.985,0
macro avg,0.846,0.613,0.692,26892
weighted avg,0.983,0.985,0.983,26892
