,precision,recall,f1-score,support
others,0.945,0.939,0.942,7471
nod,0.914,0.924,0.919,2981
shake,0.931,0.934,0.933,2930
accuracy,0.935,0.935,0.935,0
macro avg,0.93,0.933,0.931,13382
weighted avg,0.935,0.935,0.935,13382
