,precision,recall,f1-score,support
others,0.989,0.998,0.993,13096
nod,0.837,0.333,0.477,123
shake,0.811,0.607,0.695,163
accuracy,0.987,0.987,0.987,0
macro avg,0.879,0.646,0.722,13382
weighted avg,0.985,0.987,0.985,13382
