,precision,recall,f1-score,support,elapsed_time
others,0.93,0.9,0.91,1173,3.277240514755249
nod,0.9,0.92,0.91,616,3.277240514755249
shake,0.94,0.95,0.94,756,3.277240514755249
accuracy,0.92,0.92,0.92,0,3.277240514755249
macro avg,0.92,0.92,0.92,2545,3.277240514755249
weighted avg,0.92,0.92,0.92,2545,3.277240514755249
