,precision,recall,f1-score,support,sum_fit_time
others,0.94,0.98,0.96,44558,52.10239934921265
nod,0.83,0.65,0.73,5446,52.10239934921265
shake,0.88,0.79,0.83,5379,52.10239934921265
accuracy,0.93,0.93,0.93,0,52.10239934921265
macro avg,0.88,0.81,0.84,55383,52.10239934921265
weighted avg,0.92,0.93,0.92,55383,52.10239934921265
