,precision,recall,f1-score,support,sum_fit_time
others,0.939,0.978,0.958,44558,69.13512825965881
nod,0.825,0.629,0.714,5446,69.13512825965881
shake,0.877,0.788,0.83,5379,69.13512825965881
accuracy,0.925,0.925,0.925,0,69.13512825965881
macro avg,0.88,0.798,0.834,55383,69.13512825965881
weighted avg,0.922,0.925,0.922,55383,69.13512825965881
