,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.93,0.95,44558,461.05043292045593
nod,0.67,0.82,0.74,5446,461.05043292045593
shake,0.78,0.88,0.82,5379,461.05043292045593
accuracy,0.92,0.92,0.92,0,461.05043292045593
macro avg,0.81,0.88,0.84,55383,461.05043292045593
weighted avg,0.93,0.92,0.92,55383,461.05043292045593
