,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.88,0.93,42701,2499.3124380111694
nod,0.62,0.93,0.74,4924,2499.3124380111694
shake,0.63,0.95,0.76,4846,2499.3124380111694
accuracy,0.89,0.89,0.89,0,2499.3124380111694
macro avg,0.75,0.92,0.81,52471,2499.3124380111694
weighted avg,0.92,0.89,0.9,52471,2499.3124380111694
