,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.95,0.96,42701,169.98651766777039
nod,0.78,0.89,0.83,4924,169.98651766777039
shake,0.78,0.91,0.84,4846,169.98651766777039
accuracy,0.94,0.94,0.94,0,169.98651766777039
macro avg,0.85,0.92,0.88,52471,169.98651766777039
weighted avg,0.94,0.94,0.94,52471,169.98651766777039
