,precision,recall,f1-score,support
others,0.974,0.981,0.978,40549
nod,0.94,0.915,0.927,6651
shake,0.942,0.925,0.933,6706
accuracy,0.966,0.966,0.966,0
macro avg,0.952,0.94,0.946,53906
weighted avg,0.966,0.966,0.966,53906
