,precision,recall,f1-score,support,sum_fit_time
others,0.97,0.98,0.97,44558,5578.362695217133
nod,0.9,0.84,0.87,5446,5578.362695217133
shake,0.9,0.86,0.88,5379,5578.362695217133
accuracy,0.95,0.95,0.95,0,5578.362695217133
macro avg,0.92,0.89,0.91,55383,5578.362695217133
weighted avg,0.95,0.95,0.95,55383,5578.362695217133
