,PB0-5acc_X,PB5-10acc_X,PB0-5acc_Y,PB5-10acc_Y,PB0-5acc_Z,PB5-10acc_Z,PB0-5gyro_X,PB5-10gyro_X,PB0-5gyro_Y,PB5-10gyro_Y,PB0-5gyro_Z,PB5-10gyro_Z,PB0-5acc_xyz,PB5-10acc_xyz,FE_acc_X,FE_acc_Y,FE_acc_Z,FE_gyro_X,FE_gyro_Y,FE_gyro_Z,FE_acc_xyz,En_acc_X,En_acc_Y,En_acc_Z,En_gyro_X,En_gyro_Y,En_gyro_Z,En_acc_xyz
53508,17031.628304610807,0.06407278134671436,57372.233206694815,0.08817968306855677,20151.89542362964,0.0554436542917945,2589.941021150696,20.457105593768844,413.99288695850123,16.78378181623864,5891.642016321613,20.59643833123357,94556.8865262061,0.1348971020998912,1.7176554524041387,2.579952682451752,3.053249575040228,2.9936288848385293,2.7023793069313378,2.6205879782891857,3.0921211072304358,0.04148260538947077,0.028840521393918857,0.011074422397517665,4.7345492686906345,6.33366353942078,12.945430530466366,0.01167894037259512
53509,16956.118264766286,0.03658629418780752,57720.55649151637,0.09244186936365173,19884.853450526774,0.030959282098963432,2602.272742237152,14.887360215996912,196.41773212144156,21.997503884773767,7998.455662122336,13.908769060039557,94562.26064171792,0.1147779117720142,2.3215181003839627,3.204702893926559,1.772692681155307,2.927069944750497,3.262944169891345,2.847147311003983,3.280496593364281,0.020213175854956675,0.00890363765557593,0.02520668773295169,3.3590427908241556,4.775588058193966,4.997253462307947,0.009608046681127377
53510,17170.61917631677,0.05137684475638124,57871.398515533016,0.06673315231292,19525.394322498953,0.048725011779655936,2574.8001075732464,14.719069585770642,354.84871012378113,15.263515340434859,7793.550866177357,15.532129020010716,94567.96742547864,0.11116382187209069,1.8348029118976528,3.1939149687729627,2.589432633542787,3.4242776759834253,2.3500414509317404,2.6273983044681044,3.2175858872991645,0.0184438362976657,0.009788307434221773,0.013185210096156221,3.032239768467262,6.107181011207584,4.170308645572325,0.008898617172451875
53511,17153.947868654584,0.07009758769146898,57991.28138765561,0.04895136143198233,19440.127425003182,0.017115068484547608,2002.7457548922814,9.513196001443328,615.3641181004692,10.540700812923141,6794.844061166132,13.002709627103545,94585.86472761721,0.05885866416765205,2.8937621684920973,3.0842231265286726,2.3866317908116015,2.1203089786740446,3.077436589394102,3.2633204597505543,3.5013005717522634,0.016444539919943088,0.01020236346236937,0.008366625903333615,6.452708661111435,3.0596818367228025,2.604463609346774,0.007078401813780302
53512,17058.36087175233,0.04234486375267077,58032.195157672366,0.03130403207671968,19579.6191412451,0.02423427469655927,1232.5605384392586,9.497594887743702,401.83194509942626,6.238532068804414,6519.2874997939925,6.40466581094635,94670.55176736291,0.04942513708729998,3.193553925309594,3.048239555865226,2.597929138729581,2.3409931978239693,2.769406675337258,2.375439416217709,3.378304101929753,0.009467208608516731,0.006661869150617894,0.01067259506609442,4.779332983703358,2.0438902161878683,2.6730843190956226,0.005779779225574491
53513,16981.255699443238,0.04302592784008224,57964.15838341777,0.05715246159542794,19741.108785845317,0.027746602245116464,1699.868513378557,5.679713843024731,290.212370919561,11.516972315148,6177.7606616174135,8.36303326419835,94686.93326537461,0.0966778669705348,2.5281530661078473,3.414921693081921,1.7078501693124841,2.477651820485316,3.176767621568031,3.1627481619497644,2.925775255466898,0.0124297059266608,0.008512223823706845,0.011821232727935905,6.771944136899558,1.989674261406678,2.0400831342384853,0.007906263944663233
53514,16804.4451674583,0.040296323141978715,58077.83345563336,0.055610324417812,19744.800645232946,0.031184957652263368,1889.5049982461446,8.919383903278861,288.84134424759094,12.180576366544805,5823.27131652988,8.713131458567634,94627.50609338614,0.08825801260496664,3.198507235014336,2.719831465010483,1.8607515077079173,2.497608755396055,3.110610768193611,2.829965101850775,3.1473444329809666,0.008149662073171278,0.012739053739107277,0.011540068239971248,6.008041489423693,1.9210690907678265,1.5827205096828083,0.007545065818971357
53515,16683.894456770016,0.01942179360102674,58279.30034930996,0.0622353448774048,19632.49850169747,0.01718296516536424,1708.2673287529851,11.741220111604488,266.6286708405634,10.918598448725843,6295.243861990102,2.713150537305457,94595.91472967737,0.06549153888034613,3.0699804122353935,3.2109844638298295,2.8196094551376336,3.103015838552877,3.0706299233679215,2.6013109151276543,3.3210674751115214,0.004613562449305004,0.008189309800831976,0.004217180709391566,3.983948099372608,2.128656061224094,3.4104461666958037,0.006255197777868713
53516,16653.906046635162,0.022282568540807787,58339.40233207547,0.06951488849037141,19580.843236142035,0.016651720197030033,1951.4481507821217,18.318352722199368,320.32209968831097,26.639920205085012,7165.987864759144,2.3922046684802,94574.32419933492,0.06769462694825727,3.3653734627387704,3.4574844377004292,3.2136274309101904,3.451634442019197,3.1763585786308175,2.782967097892652,3.1490291167199778,0.004394496811893122,0.007303111435095879,0.0024358035287627483,2.1370316415127326,3.7223937998951113,2.397125264650468,0.005930579130780697
53517,16642.47008188912,0.05390866198669498,58266.62480896057,0.03578727438950214,19677.273776702405,0.021939780006196494,1548.1198896760625,10.46341261306755,461.27237564871575,27.142769793137084,7161.719954108636,6.500659588202843,94586.80692676478,0.0467053548919014,3.0858609138166218,2.534673350934152,1.6487073680070956,2.326103565019276,2.7934037826580345,3.0426875882038953,2.910206235394485,0.006242271994266959,0.00900137169267724,0.01333950185560693,3.8086824777110895,3.9640269603558465,1.697119437484217,0.004343278450205499
53518,16411.594881364323,0.7032473735377108,58298.65276373623,0.3156035733806285,19932.133511233325,0.03726483687710671,19500.67883905267,324.399233165485,62921.2916701851,1040.2967110962682,18015.511921256806,423.2073949304694,94653.77526094028,0.06688183975087762,2.9647712747320454,3.0198486518050753,2.5891621253377335,1.975992530833948,2.0665273446166172,2.0776303024416474,3.134368531321298,0.48776258691944135,0.16199115708888912,0.0247611045960618,1117.3668978109279,3180.488192218791,1224.351323737933,0.00790493829278497
53519,16514.11072573369,0.6015776307362606,57695.06367847417,0.2841611067338213,20441.363097329926,0.03991239871756116,24582.699853025046,390.8391548116759,75182.13167858489,1090.3112721482476,28862.779537776558,399.1155736989207,94666.93856280851,0.06553841268841878,2.440259477526053,2.4304381659645884,1.3616945186530582,1.5947592676046622,1.6546965232928101,1.5727526555325408,3.5896233658699286,0.6748203749491123,0.27871292088159255,0.07083835616959214,1642.3166482139736,4817.366245168309,1892.7588058193965,0.0076725995072724805
