,precision,recall,f1-score,support,elapsed_time
others,0.94,0.97,0.95,29192,48.56766414642334
nod,0.83,0.66,0.7,3098,48.56766414642334
shake,0.84,0.68,0.71,3038,48.56766414642334
accuracy,0.92,0.92,0.92,0,48.56766414642334
macro avg,0.87,0.77,0.79,35328,48.56766414642334
weighted avg,0.92,0.92,0.91,35328,48.56766414642334
