,window_ID,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz,gyro_xyz
1817,29,-9.516951599121091,-2.123656872558594,-1.0498574279785156,-2.381679389312977,3.206106870229008,15.435114503816791,9.80736900863124,4.125189709629693
1818,29,-9.51216319580078,-2.0566192260742184,-1.0678139404296874,-2.8091603053435112,3.877862595419847,19.267175572519083,9.790360458940263,4.865608375460663
1819,29,-9.452308154296874,-1.9608511596679683,-1.064222637939453,-3.404580152671756,5.236641221374046,25.435114503816795,9.712035653623868,5.896905802868086
1820,29,-9.409212524414064,-1.9656395629882808,-1.0307038146972656,-3.816793893129771,6.213740458015267,28.946564885496183,9.667438625344705,6.610880944919379
1821,29,-9.364919793701173,-2.0063409912109376,-1.0402806213378906,-3.633587786259542,6.580152671755725,30.885496183206108,9.633758907435894,6.293558659563248
1822,29,-9.370905297851564,-1.8710685974121093,-1.131260284423828,-2.946564885496183,5.984732824427481,28.977099236641223,9.622604305937084,5.10360008947776
1823,29,-9.421183532714844,-1.5741875915527344,-1.2330138549804688,-2.0916030534351147,4.809160305343512,22.748091603053435,9.631048172295149,3.62276275781582
1824,29,-9.532513909912108,-1.39821376953125,-1.2533645690917967,-1.5877862595419847,4.183206106870229,17.358778625954198,9.715695854185087,2.7501264730864614
1825,29,-9.78031378173828,-1.0989385620117187,-1.2952630981445312,-0.4122137404580153,3.3740458015267176,9.02290076335878,9.926727060101486,0.713975142051293
1826,29,-9.925162982177731,-0.8714894042968749,-1.3299790222167969,0.4122137404580153,2.8091603053435112,4.137404580152672,10.051726130577258,0.713975142051293
1827,29,-9.945513696289062,-0.7733271362304687,-1.3670891479492189,1.450381679389313,2.137404580152672,-1.801526717557252,10.068774020760634,2.512134759069364
1828,29,-9.93354268798828,-0.7302315063476562,-1.3718775512695311,1.9083969465648856,1.8931297709923665,-5.038167938931298,10.05437996112269,3.305440472459689
1829,29,-9.86291373901367,-0.7769184387207031,-1.369483349609375,2.5801526717557253,1.618320610687023,-9.129770992366412,9.987800274760511,4.4689555187655
1830,29,-9.794678991699218,-0.8403647827148437,-1.3718775512695311,3.175572519083969,1.3129770992366412,-12.82442748091603,9.925925525316956,5.500252946172923
1831,29,-9.73602105102539,-0.8451531860351562,-1.400607971191406,4.152671755725191,1.1908396946564883,-14.732824427480915,9.872491706901547,7.192638468072284
1832,29,-9.66658920288086,-0.9564835632324218,-1.3934253662109377,4.427480916030534,1.083969465648855,-16.442748091603054,9.813227902947464,7.668621896106479
1833,29,-9.676166009521484,-1.035492218017578,-1.4101847778320311,4.519083969465649,0.900763358778626,-17.083969465648856,9.833059233271356,7.827283038784546
1834,29,-9.694122521972655,-1.118092175292969,-1.4425065002441406,4.305343511450381,0.549618320610687,-16.99236641221374,9.864429359406222,7.457073705869059
1835,29,-9.682151513671874,-1.2306196533203124,-1.4329296936035156,3.725190839694657,0.3053435114503817,-16.106870229007633,9.864672836523644,6.452219802241314
1836,29,-9.67137760620117,-1.4700398193359374,-1.3910311645507811,2.687022900763359,-0.1068702290076335,-14.488549618320612,9.880866843193171,4.654060185223242
1837,29,-9.677363110351562,-1.6041151123046875,-1.3623007446289062,2.137404580152672,-0.3206106870229007,-13.358778625954198,9.903555189018435,3.702093329154852
