,precision,recall,f1-score,support
others,0.934,0.966,0.95,9793
nod,0.892,0.792,0.839,1775
shake,0.904,0.832,0.867,1814
accuracy,0.925,0.925,0.925,0
macro avg,0.91,0.864,0.885,13382
weighted avg,0.924,0.925,0.924,13382
