,precision,recall,f1-score,support,sum_fit_time
others,0.88,0.97,0.92,44558,2.3646914958953857
nod,0.7,0.4,0.51,5446,2.3646914958953857
shake,0.78,0.51,0.61,5379,2.3646914958953857
accuracy,0.87,0.87,0.87,0,2.3646914958953857
macro avg,0.79,0.62,0.68,55383,2.3646914958953857
weighted avg,0.85,0.87,0.85,55383,2.3646914958953857
