,precision,recall,f1-score,support
others,0.872,0.997,0.931,91493
nod,0.91,0.187,0.31,8145
shake,0.896,0.186,0.309,8292
accuracy,0.873,0.873,0.873,0
macro avg,0.893,0.457,0.517,107930
weighted avg,0.877,0.873,0.836,107930
