,precision,recall,f1-score,support
others,0.972,0.98,0.976,40549
nod,0.937,0.908,0.922,6651
shake,0.938,0.921,0.929,6706
accuracy,0.964,0.964,0.964,0
macro avg,0.949,0.936,0.943,53906
weighted avg,0.964,0.964,0.964,53906
