,precision,recall,f1-score,support
others,0.934,0.939,0.937,40549
nod,0.704,0.704,0.704,6651
shake,0.703,0.682,0.692,6706
accuracy,0.878,0.878,0.878,0
macro avg,0.78,0.775,0.778,53906
weighted avg,0.877,0.878,0.878,53906
