,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.94,0.96,42701,171.1939251422882
nod,0.77,0.89,0.83,4924,171.1939251422882
shake,0.77,0.9,0.83,4846,171.1939251422882
accuracy,0.94,0.94,0.94,0,171.1939251422882
macro avg,0.84,0.91,0.87,52471,171.1939251422882
weighted avg,0.94,0.94,0.94,52471,171.1939251422882
