,precision,recall,f1-score,support
others,0.967,0.971,0.969,17073
nod,0.949,0.94,0.945,4881
shake,0.945,0.942,0.944,4938
accuracy,0.96,0.96,0.96,0
macro avg,0.954,0.951,0.952,26892
weighted avg,0.96,0.96,0.96,26892
