,precision,recall,f1-score,support
others,0.975,0.982,0.979,40549
nod,0.942,0.92,0.931,6651
shake,0.946,0.927,0.936,6706
accuracy,0.968,0.968,0.968,0
macro avg,0.954,0.943,0.949,53906
weighted avg,0.968,0.968,0.968,53906
