,precision,recall,f1-score,support,sum_fit_time
others,0.979,0.987,0.983,18483,79.58875679969788
nod,0.944,0.917,0.93,2543,79.58875679969788
shake,0.955,0.924,0.94,2521,79.58875679969788
accuracy,0.973,0.973,0.973,0,79.58875679969788
macro avg,0.959,0.943,0.951,23547,79.58875679969788
weighted avg,0.972,0.973,0.972,23547,79.58875679969788
