,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.94,0.96,44558,398.15203189849854
nod,0.76,0.91,0.83,5446,398.15203189849854
shake,0.77,0.93,0.84,5379,398.15203189849854
accuracy,0.93,0.93,0.93,0,398.15203189849854
macro avg,0.84,0.93,0.88,55383,398.15203189849854
weighted avg,0.94,0.93,0.94,55383,398.15203189849854
