,precision,recall,f1-score,support
others,0.86,0.997,0.923,89867
nod,0.913,0.19,0.315,8976
shake,0.901,0.193,0.317,9087
accuracy,0.862,0.862,0.862,0
macro avg,0.892,0.46,0.519,107930
weighted avg,0.868,0.862,0.822,107930
