,precision,recall,f1-score,support,sum_fit_time
others,0.96,0.98,0.97,44558,88.37530446052551
nod,0.92,0.84,0.88,5446,88.37530446052551
shake,0.92,0.85,0.88,5379,88.37530446052551
accuracy,0.96,0.96,0.96,0,88.37530446052551
macro avg,0.94,0.89,0.91,55383,88.37530446052551
weighted avg,0.96,0.96,0.96,55383,88.37530446052551
