,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.96,0.97,42536,457.9456789493561
nod,0.84,0.91,0.87,4915,457.9456789493561
shake,0.81,0.92,0.86,4828,457.9456789493561
accuracy,0.95,0.95,0.95,0,457.9456789493561
macro avg,0.88,0.93,0.9,52279,457.9456789493561
weighted avg,0.95,0.95,0.95,52279,457.9456789493561
