,precision,recall,f1-score,support,elapsed_time
others,0.9,0.96,0.93,29192,52.61845946311951
nod,0.58,0.37,0.42,3098,52.61845946311951
shake,0.73,0.53,0.57,3038,52.61845946311951
accuracy,0.87,0.87,0.87,0,52.61845946311951
macro avg,0.74,0.62,0.64,35328,52.61845946311951
weighted avg,0.86,0.87,0.86,35328,52.61845946311951
