,precision,recall,f1-score,support,elapsed_time
others,0.94,0.97,0.95,29192,39.625527143478394
nod,0.83,0.67,0.71,3098,39.625527143478394
shake,0.83,0.67,0.7,3038,39.625527143478394
accuracy,0.92,0.92,0.92,0,39.625527143478394
macro avg,0.87,0.77,0.79,35328,39.625527143478394
weighted avg,0.92,0.92,0.91,35328,39.625527143478394
