,precision,recall,f1-score,support
others,0.975,0.982,0.979,40549
nod,0.943,0.919,0.931,6651
shake,0.945,0.928,0.937,6706
accuracy,0.968,0.968,0.968,0
macro avg,0.955,0.943,0.949,53906
weighted avg,0.968,0.968,0.968,53906
