,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.94,0.96,44558,431.94355726242065
nod,0.76,0.9,0.83,5446,431.94355726242065
shake,0.78,0.92,0.85,5379,431.94355726242065
accuracy,0.94,0.94,0.94,0,431.94355726242065
macro avg,0.84,0.92,0.88,55383,431.94355726242065
weighted avg,0.94,0.94,0.94,55383,431.94355726242065
