,precision,recall,f1-score,support,sum_fit_time
others,0.963,0.984,0.973,44558,48.93980598449707
nod,0.92,0.832,0.874,5446,48.93980598449707
shake,0.916,0.838,0.875,5379,48.93980598449707
accuracy,0.955,0.955,0.955,0,48.93980598449707
macro avg,0.933,0.885,0.907,55383,48.93980598449707
weighted avg,0.954,0.955,0.954,55383,48.93980598449707
