,precision,recall,f1-score,support,sum_fit_time
others,0.941,0.979,0.96,10955,80.66801524162292
nod,0.908,0.721,0.804,1429,80.66801524162292
shake,0.897,0.799,0.845,1371,80.66801524162292
accuracy,0.934,0.934,0.934,0,80.66801524162292
macro avg,0.915,0.833,0.87,13755,80.66801524162292
weighted avg,0.933,0.934,0.932,13755,80.66801524162292
