,precision,recall,f1-score,support,sum_fit_time
others,0.96,0.98,0.97,44558,52.83502960205078
nod,0.9,0.81,0.86,5446,52.83502960205078
shake,0.9,0.84,0.87,5379,52.83502960205078
accuracy,0.95,0.95,0.95,0,52.83502960205078
macro avg,0.92,0.88,0.9,55383,52.83502960205078
weighted avg,0.95,0.95,0.95,55383,52.83502960205078
