,precision,recall,f1-score,support,sum_fit_time
others,0.964,0.986,0.975,44558,116.53707027435303
nod,0.927,0.837,0.88,5446,116.53707027435303
shake,0.926,0.843,0.883,5379,116.53707027435303
accuracy,0.957,0.957,0.957,0,116.53707027435303
macro avg,0.939,0.889,0.913,55383,116.53707027435303
weighted avg,0.957,0.957,0.957,55383,116.53707027435303
