,window_ID,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz
10929,171,-8.16542476196289,-1.43652099609375,0.2681505859374999,-30.70229007633588,-25.053435114503817,2.564885496183206,8.295158759917351
10930,171,-8.092401611328125,-1.5035586425781249,0.3818751647949218,-25.603053435114504,-20.3206106870229,2.366412213740458,8.239750061269124
10931,171,-8.066065393066406,-1.8279729675292968,0.5111620544433594,-20.229007633587788,-15.251908396946565,2.137404580152672,8.28638538454157
10932,171,-8.135497241210937,-1.4616601135253906,0.488417138671875,-9.114503816793894,-4.687022900763359,1.801526717557252,8.280176142484546
10933,171,-8.208520391845703,-1.380257257080078,0.4333505004882812,-3.66412213740458,0.5038167938931297,1.633587786259542,8.335029080653673
10934,171,-8.312668164062499,-1.2773065856933592,0.3495534423828125,1.4809160305343512,5.511450381679389,1.4045801526717556,8.417490821423893
10935,171,-8.546102825927735,-1.052251629638672,0.1244984863281249,6.320610687022901,10.244274809160306,1.1603053435114503,8.611539170003539
10936,171,-8.667010009765624,-0.9624690673828123,0.0035913024902343,14.732824427480915,18.6412213740458,0.6259541984732825,8.720287960411618
10937,171,-8.772354882812499,-0.8942343200683593,-0.1185129821777343,18.396946564885496,22.244274809160306,0.3511450381679389,8.818611599120185
10938,171,-8.84777223510742,-0.8307879760742187,-0.2501940734863281,21.81679389312977,25.46564885496183,0.1526717557251908,8.89021255426072
10939,171,-8.954314208984375,-0.729034405517578,-0.5315127685546874,24.99236641221374,28.366412213740457,-0.2442748091603053,8.999652212212677
10940,171,-8.997409838867187,-0.6643909606933593,-0.6871358764648438,30.68702290076336,33.34351145038168,-0.4580152671755725,9.048035967541256
10941,171,-9.04649097290039,-0.5805939025878906,-0.8559270935058593,33.19083969465649,35.51145038167939,-0.6870229007633588,9.105421428571434
10942,171,-9.107543115234376,-0.4872200378417968,-1.22583125,35.41984732824427,37.41984732824427,-0.900763358778626,9.202575031729118
10943,171,-9.223661895751952,-0.2992752075195312,-1.4041992736816404,38.87022900763359,40.458015267175576,-1.099236641221374,9.334735133745918
10944,172,-10.845733520507812,1.1923124267578125,-3.706224169921875,-9.16030534351145,-11.404580152671755,3.633587786259542,11.523352034828276
10945,172,-10.664971295166016,1.2246341491699215,-3.660734338378906,-17.236641221374047,-20.16793893129771,1.984732824427481,11.34205966402111
10946,172,-10.57878003540039,1.2294225524902342,-3.598485095214844,-21.282442748091604,-24.0,1.297709923664122,11.241492864848553
10947,172,-10.499771380615234,1.218648645019531,-3.5134909362792968,-25.236641221374047,-27.46564885496183,0.7480916030534351,11.138892320357147
10948,172,-10.429142431640624,1.1420341918945311,-3.296815686035156,-29.06870229007633,-30.6412213740458,0.3053435114503817,10.997283647455427
10949,172,-10.17655415649414,1.0031704956054688,-3.028665100097656,-39.02290076335878,-38.6412213740458,-0.366412213740458,10.664962158013548
10950,172,-10.06881508178711,0.9169792358398436,-2.888604302978516,-41.7557251908397,-40.70229007633588,-0.3206106870229007,10.51503318536708
10951,172,-9.962273107910155,0.8379705810546875,-2.588131994628906,-44.13740458015267,-42.38167938931298,-0.1526717557251908,10.327028003880148
10952,172,-9.757568865966796,0.6093243225097655,-2.418143676757812,-48.03053435114504,-44.80916030534351,0.4732824427480916,10.071188864554689
10953,172,-9.651026892089844,0.4680664245605468,-2.2361843505859373,-49.43511450381679,-45.57251908396947,0.900763358778626,9.917758148868508
10954,172,-9.5384994140625,0.3196259216308593,-2.0458453186035155,-50.38167938931298,-45.96946564885496,1.3893129770992367,9.760666722591289
10955,172,-9.422380633544922,0.0514753356933593,-1.6699556579589845,-50.83969465648855,-46.03053435114504,1.923664122137405,9.569360397285514
10956,172,-9.169792358398436,-0.0730231506347656,-1.4820108276367188,-50.47328244274809,-45.11450381679389,2.9618320610687023,9.289067787991616
