,precision,recall,f1-score,support
others,0.976,0.985,0.981,42884
nod,0.933,0.897,0.914,5485
shake,0.947,0.915,0.931,5537
accuracy,0.969,0.969,0.969,0
macro avg,0.952,0.932,0.942,53906
weighted avg,0.969,0.969,0.969,53906
