,precision,recall,f1-score,support,sum_fit_time
others,0.96,0.98,0.97,44558,76.33019042015076
nod,0.9,0.81,0.86,5446,76.33019042015076
shake,0.92,0.85,0.88,5379,76.33019042015076
accuracy,0.95,0.95,0.95,0,76.33019042015076
macro avg,0.93,0.88,0.9,55383,76.33019042015076
weighted avg,0.95,0.95,0.95,55383,76.33019042015076
