,precision,recall,f1-score,support
others,0.971,0.978,0.974,40549
nod,0.931,0.9,0.915,6651
shake,0.93,0.918,0.924,6706
accuracy,0.961,0.961,0.961,0
macro avg,0.944,0.932,0.938,53906
weighted avg,0.961,0.961,0.961,53906
