,precision,recall,f1-score,support,sum_fit_time
others,0.848,0.999,0.917,185920,1857.9090778827667
nod,0.829,0.065,0.12,18061,1857.9090778827667
shake,0.83,0.065,0.121,17895,1857.9090778827667
accuracy,0.847,0.847,0.847,0,1857.9090778827667
macro avg,0.836,0.376,0.386,221876,1857.9090778827667
weighted avg,0.845,0.847,0.788,221876,1857.9090778827667
