,precision,recall,f1-score,support,sum_fit_time
others,0.92,0.94,0.93,44558,27.051689386367798
nod,0.67,0.54,0.6,5446,27.051689386367798
shake,0.68,0.69,0.68,5379,27.051689386367798
accuracy,0.87,0.87,0.87,0,27.051689386367798
macro avg,0.76,0.72,0.74,55383,27.051689386367798
weighted avg,0.87,0.87,0.87,55383,27.051689386367798
