,precision,recall,f1-score,support
others,0.95,0.958,0.954,40549
nod,0.782,0.783,0.783,6651
shake,0.796,0.753,0.774,6706
accuracy,0.911,0.911,0.911,0
macro avg,0.842,0.831,0.837,53906
weighted avg,0.91,0.911,0.91,53906
