,precision,recall,f1-score,support,sum_fit_time
others,0.964,0.984,0.974,44558,60.934773683547974
nod,0.924,0.841,0.881,5446,60.934773683547974
shake,0.916,0.842,0.877,5379,60.934773683547974
accuracy,0.956,0.956,0.956,0,60.934773683547974
macro avg,0.935,0.889,0.911,55383,60.934773683547974
weighted avg,0.955,0.956,0.955,55383,60.934773683547974
