,precision,recall,f1-score,support
others,0.829,0.997,0.906,175126
nod,0.885,0.116,0.206,20290
shake,0.891,0.118,0.208,20566
accuracy,0.831,0.831,0.831,0
macro avg,0.869,0.41,0.44,215982
weighted avg,0.84,0.831,0.773,215982
