,precision,recall,f1-score,support
others,0.891,0.996,0.941,93899
nod,0.873,0.181,0.299,6940
shake,0.865,0.18,0.299,7091
accuracy,0.89,0.89,0.89,0
macro avg,0.876,0.452,0.513,107930
weighted avg,0.888,0.89,0.857,107930
