,precision,recall,f1-score,support
others,0.976,0.983,0.98,40549
nod,0.942,0.922,0.932,6651
shake,0.949,0.93,0.939,6706
accuracy,0.969,0.969,0.969,0
macro avg,0.956,0.945,0.95,53906
weighted avg,0.969,0.969,0.969,53906
