,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.89,0.94,42701,3009.8069183826447
nod,0.63,0.93,0.75,4924,3009.8069183826447
shake,0.65,0.95,0.77,4846,3009.8069183826447
accuracy,0.9,0.9,0.9,0,3009.8069183826447
macro avg,0.76,0.92,0.82,52471,3009.8069183826447
weighted avg,0.93,0.9,0.9,52471,3009.8069183826447
