,precision,recall,f1-score,support,elapsed_time
others,0.93,0.97,0.95,29192,38.725404262542725
nod,0.77,0.62,0.66,3098,38.725404262542725
shake,0.8,0.65,0.69,3038,38.725404262542725
accuracy,0.91,0.91,0.91,0,38.725404262542725
macro avg,0.83,0.75,0.77,35328,38.725404262542725
weighted avg,0.91,0.91,0.9,35328,38.725404262542725
