,precision,recall,f1-score,support,sum_fit_time
others,0.98,0.92,0.95,42701,162.25370597839355
nod,0.61,0.81,0.7,4924,162.25370597839355
shake,0.74,0.86,0.79,4846,162.25370597839355
accuracy,0.91,0.91,0.91,0,162.25370597839355
macro avg,0.78,0.86,0.81,52471,162.25370597839355
weighted avg,0.92,0.91,0.91,52471,162.25370597839355
