,precision,recall,f1-score,support,elapsed_time
others,0.91,0.96,0.93,29192,32.51411485671997
nod,0.57,0.39,0.44,3098,32.51411485671997
shake,0.73,0.55,0.59,3038,32.51411485671997
accuracy,0.88,0.88,0.88,0,32.51411485671997
macro avg,0.74,0.63,0.65,35328,32.51411485671997
weighted avg,0.86,0.88,0.86,35328,32.51411485671997
