,precision,recall,f1-score,support
others,0.848,0.997,0.917,179938
nod,0.862,0.107,0.19,17898
shake,0.879,0.108,0.192,18146
accuracy,0.849,0.849,0.849,0
macro avg,0.863,0.404,0.433,215982
weighted avg,0.852,0.849,0.796,215982
