,precision,recall,f1-score,support,sum_fit_time
others,0.979,0.987,0.983,18483,82.63763499259949
nod,0.944,0.917,0.93,2543,82.63763499259949
shake,0.955,0.924,0.94,2521,82.63763499259949
accuracy,0.973,0.973,0.973,0,82.63763499259949
macro avg,0.959,0.943,0.951,23547,82.63763499259949
weighted avg,0.972,0.973,0.972,23547,82.63763499259949
