,precision,recall,f1-score,support,sum_fit_time
others,0.965,0.97,0.968,18483,38.23113536834717
nod,0.892,0.868,0.88,2543,38.23113536834717
shake,0.881,0.867,0.874,2521,38.23113536834717
accuracy,0.948,0.948,0.948,0,38.23113536834717
macro avg,0.913,0.902,0.907,23547,38.23113536834717
weighted avg,0.948,0.948,0.948,23547,38.23113536834717
