,precision,recall,f1-score,support,elapsed_time
others,0.93,0.97,0.95,29192,26.307952642440796
nod,0.82,0.66,0.69,3098,26.307952642440796
shake,0.82,0.64,0.68,3038,26.307952642440796
accuracy,0.92,0.92,0.92,0,26.307952642440796
macro avg,0.86,0.76,0.78,35328,26.307952642440796
weighted avg,0.91,0.92,0.91,35328,26.307952642440796
