,precision,recall,f1-score,support
others,0.935,0.939,0.937,40549
nod,0.706,0.703,0.705,6651
shake,0.703,0.686,0.694,6706
accuracy,0.879,0.879,0.879,0
macro avg,0.781,0.776,0.779,53906
weighted avg,0.878,0.879,0.878,53906
