,mean_gyro_Z,max_gyro_X,max_gyro_Y,max_gyro_Z,var_gyro_X,var_gyro_Y,var_gyro_Z,median_gyro_Z,per75_gyro_Z,per_range_gyro_X,per_range_gyro_Y,per_range_gyro_Z,RMS_gyro_X,RMS_gyro_Y,coef_gyro_xy,PB5-10gyro_Y,PB5-10gyro_Z,PB10-15gyro_Z,PB15-20gyro_Z,PB30-35gyro_Z,PB40-45gyro_Z,PB45-50gyro_Z,En_gyro_Y,En_gyro_Z
1568,-2.409351145038168,34.03053435114504,38.396946564885496,1.3435114503816794,358.856017095449,461.97106720907874,1.8156931050055358,-2.648854961832061,-1.3244274809160306,30.62213740458015,35.22519083969466,2.091603053435114,20.37942385381027,22.546013785206107,0.9973467173450168,161301.63070740984,481.858491632437,172.16069614572723,28.078817386911474,40.30236842771441,36.75011974499553,21.027385486250807,15725.778062661462,61.409257424781
1569,-3.5458015267175576,15.954198473282442,14.870229007633588,-2.183206106870229,48.68620140689646,62.22814971993182,0.460812306975118,-3.5801526717557257,-2.9541984732824424,6.309160305343511,7.729007633587787,1.1755725190839703,7.992718646772854,10.580427705908257,0.9953886444755198,22293.689759880097,229.51787379090663,1.985582107513462,0.18182768363464047,0.7919581423109618,0.5087906498982953,0.19319165017485485,2121.4314783520776,15.725299613464637
1570,-0.698473282442748,13.725190839694656,11.450381679389311,7.374045801526718,40.82502271684342,56.03816224833925,12.115494435056231,-2.1603053435114505,1.3893129770992365,9.259541984732826,13.072519083969466,5.026717557251908,6.8274383055587675,8.749339216019376,0.9761301459318452,18558.744756036973,3490.8148292413307,1356.1776401296438,324.0426929297992,120.7103355071668,55.15939438571407,28.88538773042128,1909.5967989433407,410.49750791523405
1571,5.540553435114504,31.61832061068702,36.96183206106871,9.740458015267176,156.02971763737546,215.11813646312862,14.55024997632714,7.442748091603054,8.984732824427482,26.427480916030536,30.648854961832058,7.534351145038169,19.349658915787984,21.627649156342333,0.985972166106893,93725.6607200638,5766.321407837551,703.7100054570897,261.7476840200981,145.85815791128616,111.17753037631131,60.72750099825107,7331.52953790572,493.9713847289398
1572,6.529103053435114,31.61832061068702,36.96183206106871,9.740458015267176,566.0293689178952,581.3029024750888,9.974354777912128,7.702290076335878,8.984732824427482,41.835877862595424,41.603053435114504,4.312977099236642,24.844409779238333,26.473737251435402,0.9935381345112841,258306.06613407156,3556.919304582121,745.4662860498494,235.69922050098998,59.39487268966759,19.55633758303245,22.035143483681342,19813.28326632092,339.119864809743
1573,2.8373091603053435,31.46564885496183,39.54198473282442,8.061068702290076,577.7877616306597,661.7586585772244,8.181576093686264,3.312977099236641,4.519083969465648,47.29770992366412,51.11450381679389,5.198473282442747,24.34596145384158,25.748739561577853,0.998484932314473,312820.2053112484,3560.239220569265,171.45994320780198,242.231096140964,35.38248285915194,41.66876328869825,4.826626821204745,22585.887395839396,278.9567818503195
1574,1.98043893129771,31.46564885496183,39.54198473282442,4.625954198473282,548.9377310380369,714.585058189718,3.7794160359973192,2.7251908396946565,3.4923664122137406,46.07251908396947,53.671755725190835,3.67175572519084,24.14563954984464,26.91216082711667,0.9960884572036728,337672.08371430397,1678.143932061277,184.6383671170152,5.639122499137905,7.571343680454312,10.440590467304038,3.867925324146495,24385.001884117086,128.82218984907635
1575,1.2118320610687023,12.30534351145038,19.37404580152672,4.625954198473282,218.60982660538428,283.9852315479138,3.34503743954315,0.5114503816793893,2.7519083969465647,24.44656488549618,26.786259541984727,2.916030534351145,24.646085296132078,26.579099661915997,0.9954103770511037,130918.42879339823,1477.0284864545026,210.50597050923952,0.8726518484889016,5.184922836468258,5.107631872491233,0.6853723096510462,9686.5992580075,114.15114115339047
1576,1.040553435114504,34.87022900763359,40.42748091603053,2.534351145038168,745.1468509629392,901.918341142343,1.4808302164063867,1.3129770992366412,2.282442748091603,58.20610687022901,63.4618320610687,2.259541984732824,27.343350818508576,30.127040391141055,0.9985242783111837,357369.85539523955,569.8528946076287,132.263449633103,16.826596084975687,6.981998192382017,4.021476079484791,1.8153630507271705,30730.629046481376,50.49214692228505
1577,1.5720419847328244,34.87022900763359,40.42748091603053,2.534351145038168,468.2061303154682,565.1831614926286,0.9982589064594141,1.7709923664122138,2.282442748091603,34.07251908396946,36.35496183206107,0.7748091603053433,24.775030399296295,28.29033483854657,0.9961520273729161,252043.23989285875,333.184616574428,108.0391884716997,15.012656243895524,7.178471390834296,5.090149349174605,2.4767662612905177,19280.730213856998,33.97115164228969
1578,-1.5100190839694656,29.282442748091604,36.68702290076336,2.198473282442748,403.76582052874255,532.8938718241943,7.187712828142299,-1.786259541984733,1.5419847328244276,28.099236641221374,30.6030534351145,5.83969465648855,24.184640524628815,26.112441930333905,0.9996114538711619,237301.73208813102,3157.349213942989,258.1182124895569,61.76679253536931,33.4582327268637,23.576155159222388,11.156162170190868,18173.063574383774,245.03906920731114
1579,-3.2705152671755724,15.129770992366412,13.236641221374043,-2.030534351145038,386.40356927590176,383.61258244529745,1.0006225507691862,-3.083969465648855,-2.221374045801527,40.916030534351144,39.511450381679396,2.0763358778625953,20.765116429029977,21.01463894797219,0.9981674811488629,161958.74743305138,488.16735981099544,22.313212575577317,0.5537209480279174,0.3471717900525533,0.1867389188803436,0.02591381820244621,13082.581931899851,34.1545131402599
1580,-2.211354961832061,15.129770992366412,13.236641221374043,-1.4351145038167938,31.325501864693198,22.480373148053726,0.2543719680525611,-2.0610687022900764,-1.9656488549618318,11.961832061068701,9.469465648854964,0.27480916030534397,9.062666662957353,7.862041872606611,0.9851384226477885,10832.38786702355,40.62460527337042,41.94920774622204,12.376502336156545,7.0925005653816395,3.7305626891498256,1.4652878283224697,767.2739350853677,8.647685643804754
1581,-1.8296755725190839,9.69465648854962,7.32824427480916,-1.3587786259541983,5.54929782646699,2.9316537133616913,0.06098288816211178,-1.9312977099236646,-1.702290076335878,0.8587786259541984,0.7633587786259542,0.26717557251908364,3.2300248339159876,2.443526235792828,0.9720464103000257,507.86746168295684,20.29521072904891,9.688087595700448,0.31477988807702534,0.11771856823558044,0.15268462725191245,0.007130566225508471,99.44045218810093,2.0802361944719627
