,precision,recall,f1-score,support
others,0.861,0.997,0.924,183130
nod,0.85,0.1,0.18,16284
shake,0.87,0.102,0.183,16568
accuracy,0.861,0.861,0.861,0
macro avg,0.86,0.4,0.429,215982
weighted avg,0.861,0.861,0.811,215982
