,precision,recall,f1-score,support,sum_fit_time
others,0.99,0.9,0.94,44558,3047.301762342453
nod,0.57,0.87,0.69,5446,3047.301762342453
shake,0.72,0.88,0.79,5379,3047.301762342453
accuracy,0.89,0.89,0.89,0,3047.301762342453
macro avg,0.76,0.88,0.81,55383,3047.301762342453
weighted avg,0.92,0.89,0.9,55383,3047.301762342453
