,precision,recall,f1-score,support
others,0.879,0.997,0.934,92296
nod,0.899,0.187,0.31,7750
shake,0.891,0.184,0.305,7884
accuracy,0.879,0.879,0.879,0
macro avg,0.89,0.456,0.516,107930
weighted avg,0.881,0.879,0.843,107930
